"","category","term","ontology"
"309","GO:0000906","6,7-dimethyl-8-ribityllumazine synthase activity","MF"
"310","GO:0000907","sulfonate dioxygenase activity","MF"
"311","GO:0000908","taurine dioxygenase activity","MF"
"312","GO:0000911","cytokinesis by cell plate formation","BP"
"313","GO:0000913","preprophase band assembly","BP"
"314","GO:0000914","phragmoplast assembly","BP"
"316","GO:0000919","cell plate assembly","BP"
"317","GO:0000920","septum digestion after cytokinesis","BP"
"318","GO:0000921","septin ring assembly","BP"
"319","GO:0000922","spindle pole","CC"
"320","GO:0000923","equatorial microtubule organizing center","CC"
"321","GO:0000924","gamma-tubulin ring complex, centrosomal","CC"
"322","GO:0000930","gamma-tubulin complex","CC"
"323","GO:0000932","P-body","CC"
"325","GO:0000936","primary cell septum","CC"
"326","GO:0000938","GARP complex","CC"
"327","GO:0000939","condensed chromosome inner kinetochore","CC"
"328","GO:0000940","condensed chromosome outer kinetochore","CC"
"329","GO:0000941","condensed nuclear chromosome inner kinetochore","CC"
"330","GO:0000943","retrotransposon nucleocapsid","CC"
"331","GO:0000949","aromatic amino acid family catabolic process to alcohol via Ehrlich pathway","BP"
"332","GO:0000956","nuclear-transcribed mRNA catabolic process","BP"
"333","GO:0000957","mitochondrial RNA catabolic process","BP"
"334","GO:0000958","mitochondrial mRNA catabolic process","BP"
"335","GO:0000962","positive regulation of mitochondrial RNA catabolic process","BP"
"336","GO:0000964","mitochondrial RNA 5'-end processing","BP"
"337","GO:0000965","mitochondrial RNA 3'-end processing","BP"
"338","GO:0000966","RNA 5'-end processing","BP"
"339","GO:0000967","rRNA 5'-end processing","BP"
"340","GO:0000971","tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate","BP"
"341","GO:0000972","transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery","BP"
"342","GO:0000973","posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery","BP"
"343","GO:0000974","Prp19 complex","CC"
"344","GO:0000976","transcription regulatory region sequence-specific DNA binding","MF"
"345","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"346","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF"
"347","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","MF"
"348","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"349","GO:0000986","bacterial-type cis-regulatory region sequence-specific DNA binding","MF"
"350","GO:0000987","cis-regulatory region sequence-specific DNA binding","MF"
"351","GO:0000993","RNA polymerase II complex binding","MF"
"352","GO:0000994","RNA polymerase III core binding","MF"
"353","GO:0000995","RNA polymerase III general transcription initiation factor activity","MF"
"354","GO:0001002","RNA polymerase III type 1 promoter sequence-specific DNA binding","MF"
"355","GO:0001003","RNA polymerase III type 2 promoter sequence-specific DNA binding","MF"
"356","GO:0001006","RNA polymerase III type 3 promoter sequence-specific DNA binding","MF"
"357","GO:0001016","RNA polymerase III transcription regulatory region sequence-specific DNA binding","MF"
"358","GO:0001018","mitochondrial promoter sequence-specific DNA binding","MF"
"359","GO:0001042","RNA polymerase I core binding","MF"
"360","GO:0001046","core promoter sequence-specific DNA binding","MF"
"361","GO:0001054","RNA polymerase I activity","MF"
"362","GO:0001055","RNA polymerase II activity","MF"
"363","GO:0001056","RNA polymerase III activity","MF"
"364","GO:0001072","transcription antitermination factor activity, RNA binding","MF"
"365","GO:0001085","RNA polymerase II transcription factor binding","MF"
"366","GO:0001093","TFIIB-class transcription factor binding","MF"
"367","GO:0001094","TFIID-class transcription factor complex binding","MF"
"368","GO:0001096","TFIIF-class transcription factor complex binding","MF"
"369","GO:0001097","TFIIH-class transcription factor complex binding","MF"
"370","GO:0001100","negative regulation of exit from mitosis","BP"
"371","GO:0001102","RNA polymerase II activating transcription factor binding","MF"
"372","GO:0001103","RNA polymerase II repressing transcription factor binding","MF"
"373","GO:0001111","promoter clearance from RNA polymerase II promoter","BP"
"374","GO:0001113","transcription open complex formation at RNA polymerase II promoter","BP"
"375","GO:0001123","transcription initiation from bacterial-type RNA polymerase promoter","BP"
"376","GO:0001139","RNA polymerase II complex recruiting activity","MF"
"377","GO:0001156","TFIIIC-class transcription factor complex binding","MF"
"378","GO:0001161","intronic transcription regulatory region sequence-specific DNA binding","MF"
"379","GO:0001162","RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding","MF"
"380","GO:0001164","RNA polymerase I core promoter sequence-specific DNA binding","MF"
"381","GO:0001174","transcriptional start site selection at RNA polymerase II promoter","BP"
"382","GO:0001181","RNA polymerase I general transcription initiation factor activity","MF"
"383","GO:0001188","RNA polymerase I preinitiation complex assembly","BP"
"384","GO:0001207","histone displacement","BP"
"385","GO:0001216","DNA-binding transcription activator activity","MF"
"386","GO:0001221","transcription cofactor binding","MF"
"387","GO:0001222","transcription corepressor binding","MF"
"388","GO:0001223","transcription coactivator binding","MF"
"389","GO:0001226","RNA polymerase II transcription corepressor binding","MF"
"390","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific","MF"
"391","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","MF"
"392","GO:0001306","age-dependent response to oxidative stress","BP"
"393","GO:0001315","age-dependent response to reactive oxygen species","BP"
"394","GO:0001401","SAM complex","CC"
"395","GO:0001402","signal transduction involved in filamentous growth","BP"
"396","GO:0001403","invasive growth in response to glucose limitation","BP"
"397","GO:0001405","PAM complex, Tim23 associated import motor","CC"
"398","GO:0001406","glycerophosphodiester transmembrane transporter activity","MF"
"399","GO:0001407","glycerophosphodiester transmembrane transport","BP"
"400","GO:0001409","guanine nucleotide transmembrane transporter activity","MF"
"401","GO:0001410","chlamydospore formation","BP"
"402","GO:0001501","skeletal system development","BP"
"403","GO:0001503","ossification","BP"
"404","GO:0001504","neurotransmitter uptake","BP"
"405","GO:0001505","regulation of neurotransmitter levels","BP"
"406","GO:0001507","acetylcholine catabolic process in synaptic cleft","BP"
"407","GO:0001508","action potential","BP"
"408","GO:0001510","RNA methylation","BP"
"409","GO:0001514","selenocysteine incorporation","BP"
"410","GO:0001516","prostaglandin biosynthetic process","BP"
"411","GO:0001517","N-acetylglucosamine 6-O-sulfotransferase activity","MF"
"412","GO:0001518","voltage-gated sodium channel complex","CC"
"413","GO:0001520","outer dense fiber","CC"
"414","GO:0001522","pseudouridine synthesis","BP"
"415","GO:0001523","retinoid metabolic process","BP"
"416","GO:0001525","angiogenesis","BP"
"417","GO:0001527","microfibril","CC"
